trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,664,1/1/20,6:34:00 AM,1/1/20,6:45:04 AM,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,29629,Customer,1969,Unknown
1,353,1/1/20,6:54:10 AM,1/1/20,7:00:04 AM,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,26164,Subscriber,1982,Male
1,549,1/1/20,7:09:06 AM,1/1/20,7:18:15 AM,3194,McGinley Square,40.72533993,-74.06762213,3186,Grove St PATH,40.71958612,-74.04311746,26228,Subscriber,1985,Male
1,288,1/1/20,7:43:04 AM,1/1/20,7:47:53 AM,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29219,Subscriber,1970,Male
1,254,1/1/20,7:45:49 AM,1/1/20,7:50:04 AM,3206,Hilltop,40.7311689,-74.0575736,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29531,Subscriber,1988,Male
1,1323,1/1/20,7:49:17 AM,1/1/20,8:11:21 AM,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458404,-74.04281706,26179,Subscriber,1984,Female
1,565,1/1/20,8:01:46 AM,1/1/20,8:11:11 AM,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,29441,Subscriber,1982,Female
1,1101,1/1/20,8:10:36 AM,1/1/20,8:28:58 AM,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29206,Customer,1969,Unknown
1,943,1/1/20,8:12:04 AM,1/1/20,8:27:47 AM,3220,5 Corners Library,40.73496102,-74.05950308,3202,Newport PATH,40.7272235,-74.0337589,29247,Subscriber,1992,Male
1,639,1/1/20,8:31:25 AM,1/1/20,8:42:04 AM,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601173,-74.05038893,29548,Subscriber,1968,Male
1,133,1/1/20,8:38:09 AM,1/1/20,8:40:23 AM,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,26228,Subscriber,1987,Male
1,62,1/1/20,8:43:04 AM,1/1/20,8:44:07 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3211,Newark Ave,40.72152515,-74.04630454,26219,Subscriber,1987,Male
1,68,1/1/20,8:46:28 AM,1/1/20,8:47:36 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3211,Newark Ave,40.72152515,-74.04630454,29296,Subscriber,1987,Male
1,255,1/1/20,8:48:29 AM,1/1/20,8:52:45 AM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29512,Subscriber,1980,Female
1,102,1/1/20,8:49:21 AM,1/1/20,8:51:03 AM,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29286,Subscriber,1971,Female
1,67,1/1/20,8:50:05 AM,1/1/20,8:51:12 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3211,Newark Ave,40.72152515,-74.04630454,29479,Subscriber,1987,Male
1,492,1/1/20,8:51:13 AM,1/1/20,8:59:25 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3202,Newport PATH,40.7272235,-74.0337589,29489,Subscriber,1969,Male
1,160,1/1/20,8:51:18 AM,1/1/20,8:53:58 AM,3211,Newark Ave,40.72152515,-74.04630454,3483,Montgomery St,40.71942,-74.05099,29479,Subscriber,1987,Male
1,244,1/1/20,9:09:45 AM,1/1/20,9:13:50 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,26305,Subscriber,1988,Female
1,336,1/1/20,9:53:01 AM,1/1/20,9:58:37 AM,3203,Hamilton Park,40.72759597,-74.04424731,3275,Columbus Drive,40.7183552,-74.03891444,29532,Subscriber,1984,Female
1,344,1/1/20,9:53:35 AM,1/1/20,9:59:20 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29629,Subscriber,1979,Male
1,286,1/1/20,9:55:47 AM,1/1/20,10:00:33 AM,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,29512,Subscriber,1995,Male
1,271,1/1/20,9:57:26 AM,1/1/20,10:01:57 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,29548,Subscriber,1970,Male
1,1040,1/1/20,10:03:55 AM,1/1/20,10:21:16 AM,3202,Newport PATH,40.7272235,-74.0337589,3267,Morris Canal,40.71241882,-74.03852552,29489,Subscriber,1957,Male
